VelocityX, VelocityY, LocationX, LocationY
-321.638397, 506.500092, -27889.058594, -8685.818359
-285.927582, 527.489380, -28747.513672, -7319.696289
-264.706055, 538.443420, -29874.539063, -5163.250000
539.745850, 262.099640, -30397.185547, -3733.984375
221.546616, 557.588989, -28463.570313, -2695.855469
186.515579, 570.276184, -27791.935547, -949.766174
186.514191, 570.279297, -27207.136719, 838.340515
186.507645, 570.279785, -26657.925781, 2517.611816
186.480148, 570.278748, -26135.818359, 4114.084961
186.487411, 570.281921, -25528.890625, 5970.125000
186.476837, 570.285156, -24953.250000, 7730.516602
122.120567, 587.438171, -24468.134766, 9247.888672
116.728378, 588.540710, -24018.509766, 11443.891602
116.701607, 588.545349, -23592.914063, 13589.881836
116.705116, 588.547363, -23258.394531, 15276.916016
116.687149, 588.515442, -22873.062500, 17220.171875
588.687317, -115.903610, -22275.439453, 18649.619141
590.250244, -107.750237, -20582.058594, 18319.314453
567.297546, -195.414322, -18728.384766, 17934.580078
568.729309, -191.256027, -16492.835938, 17171.085938
104.975235, 590.737366, -14996.429688, 17007.677734
592.275330, -95.981819, -14493.182617, 18462.044922
595.838318, -70.613136, -12534.130859, 18165.064453
595.834290, -70.609558, -10599.263672, 17935.759766
595.829651, -70.630676, -8440.667969, 17679.931641
595.838501, -70.565155, -6354.292480, 17432.640625
-363.713898, 477.191803, -4652.104980, 17538.240234
404.971710, 442.738739, -5360.532715, 19030.250000
-528.057129, 284.866333, -4658.655762, 20347.097656
-552.708801, 233.490189, -6291.034668, 21192.136719
458.232513, -387.342834, -7381.530273, 21496.144531
-301.932037, -518.511536, -6185.265625, 20033.486328
5.438417, -599.998169, -7080.282715, 18448.388672
459.298462, -386.064056, -6939.138672, 16597.060547
510.636536, -315.040039, -5599.315918, 15512.589844
-308.406891, -514.658386, -4552.447754, 14297.440430
539.909302, -261.698853, -4897.481934, 12784.392578
-261.266083, -540.131287, -3669.834473, 11828.834961
-196.733521, 566.817322, -4593.286133, 11203.751953
-196.735260, 566.821045, -5170.177734, 12865.861328
-196.727737, 566.822266, -5793.485352, 14661.710938
-196.737000, 566.838135, -6377.157227, 16343.407227
198.460800, -566.216003, -6718.639160, 17329.574219
497.064026, 336.059479, -5944.475586, 16076.718750
135.857346, -584.434326, -4492.576660, 16521.308594
168.894760, -575.724792, -4089.217529, 14823.081055
184.651016, -570.877441, -3534.560303, 12973.870117
559.445984, 216.840744, -2738.876953, 11651.827148
558.703003, 218.745789, -1223.409546, 12239.669922
-239.523529, -550.121887, 186.058136, 12284.300781
-240.298264, -549.788147, -558.747314, 10574.925781
-267.297333, -537.171326, -1687.858154, 8150.373535
-266.862854, -537.390747, -2582.146484, 6352.274902
103.654221, 590.973389, -3091.112793, 5032.017578
-583.082642, 141.462082, -3122.933594, 6782.346191
-588.325378, 117.760689, -5011.118652, 7222.475098
-588.331177, 117.755104, -7072.650879, 7635.109863
-588.341187, 117.761147, -8939.665039, 8008.798828
-396.569122, -450.259888, -10684.984375, 8173.179199
545.063293, -250.836777, -11192.051758, 6800.383301
545.807251, -249.170761, -9584.862305, 6061.629883
110.889046, -589.669189, -8131.667480, 5078.814453
-482.958923, -356.023865, -8146.284668, 3239.218994
-159.226303, 578.484070, -9442.100586, 2594.041504
-597.130127, 58.642639, -10076.013672, 4542.116699
-453.700195, 392.624542, -12170.907227, 5124.333008
-162.848572, 577.484436, -13462.295898, 6722.527344
-545.140076, -250.667084, -14425.833984, 8135.450684
-560.963562, -212.881516, -16180.332031, 7359.487793
-560.985535, -212.868729, -17995.384766, 6670.812500
-566.594055, -197.378448, -20953.087891, 5586.304688
-584.261536, 136.466476, -23210.460938, 4819.430176
-230.474731, 553.962463, -24887.863281, 5654.630371
-226.320587, 555.682617, -25780.876953, 7795.600586
-537.740906, 266.148926, -26466.771484, 9247.894531
317.935486, 508.835388, -27823.355469, 10536.007813
-581.802002, -146.658524, -27658.378906, 11488.832031
-592.059570, -97.275909, -31225.156250, 10906.912109
294.879456, 522.536194, -32504.619141, 11058.893555
-576.156128, 167.519226, -32267.751953, 12651.984375
157.401352, 578.971130, -33551.839844, 13692.844727
-578.970215, 157.286911, -33788.406250, 15816.999023
-19.291250, 599.691833, -35504.890625, 17089.673828
-543.473938, 254.230362, -36028.476563, 18809.310547
252.480896, 544.284607, -37242.367188, 19800.693359
-543.861694, 253.378204, -36990.632813, 21680.265625
252.679169, 544.228455, -38185.812500, 22719.000000
304.061066, -517.231689, -36994.222656, 23828.980469
315.990417, -510.071838, -35850.007813, 22047.216797
315.974670, -510.094574, -34829.765625, 20400.357422
572.810913, -178.591736, -32030.503906, 18490.630859
572.808167, -178.557678, -30513.519531, 18017.662109
478.572998, 361.858673, -28729.123047, 17603.228516
409.999939, -438.034637, -27176.558594, 18284.972656
-368.495728, -473.487671, -26332.513672, 16924.277344
-531.936096, -277.561462, -27325.554688, 15697.769531
-577.917786, 161.293396, -28941.193359, 15074.106445
43.831928, 598.384521, -30365.291016, 16015.833008
98.418777, 591.857544, -30216.669922, 17809.486328
338.695007, 495.295288, -29695.134766, 19699.746094
362.927246, 477.766846, -28580.099609, 21309.486328
-391.385284, 454.771698, -27911.107422, 22958.136719
-599.837219, -14.896620, -29424.998047, 24108.916016
-186.365494, -570.307800, -31667.257813, 23504.248047
-389.365448, 456.472198, -32601.302734, 22583.375000
-454.207947, -392.019836, -33988.867188, 23512.365234
-409.879486, 438.190765, -35515.296875, 22919.990234
-438.324371, -409.753632, -36835.007813, 23767.539063
595.341003, 74.912971, -37443.882813, 23077.812500
565.865662, -199.603622, -35679.066406, 23188.115234
101.556480, -591.335693, -34170.351563, 22460.082031
-577.905518, -161.180389, -34151.539063, 20742.238281
-559.002686, 217.856430, -36153.507813, 20413.503906
-269.615662, -535.989624, -38151.937500, 20649.015625
-15.894362, -599.778442, -38838.906250, 18924.189453
392.740540, -453.573151, -38576.011719, 17063.585938
368.664673, -473.345886, -37273.320313, 15518.531250
-81.214638, -594.462158, -36399.730469, 13924.925781
